"","Checklist.ID","Site.ID","year","month","Sampling.protocol","Party.Size","Observer","presence","presence_f","GID_1","GID_0","COUNTRY","NAME_1","VARNAME_1","NL_NAME_1","TYPE_1","ENGTYPE_1","CC_1","HASC_1","ISO_1","geometry"
"87",3514,3514,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-596825.985952181, 350450.052476516)
"88",3515,3515,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-611732.29772376, 934219.069907749)
"89",3516,3516,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-599139.423701681, 929725.22744797)
"90",3518,3518,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-653521.968628368, 681552.739209059)
"91",3519,3519,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-641556.795977411, 939549.458175475)
"92",3526,3526,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-605327.538658657, 1115211.69765458)
"93",3530,3530,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-679439.779722168, 1137069.63634541)
"94",3531,3531,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-684934.753670028, 1046896.0967711)
"95",3532,3532,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-683816.319540255, 1047281.91099657)
"96",3533,3533,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-684408.794183731, 1046785.18915639)
"97",3534,3534,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-679118.237382692, 1046248.60648422)
"98",3535,3535,2012,6,"Traveling Survey",NA,"CFERTeam",0,"Absence","CAN.11_1","CAN","Canada","Québec","Lower Canada",NA,"Province","Province","24","CA.QC",NA,c(-686575.118582865, 1155907.79350099)
